Year,Year ending,Offence Division,Offence Subdivision,Offence Group,Victim Reports,"Rate per 100,000 population"
2018,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,469,7.3
2018,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,506",39.0
2018,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,371,5.8
2018,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,110,1.7
2018,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,49,0.8
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"2,059",32.1
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"4,800",74.8
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"3,277",51.1
2018,September,B Property and deception offences,B10 Arson,B10 Arson,"1,577",24.6
2018,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"22,985",358.1
2018,September,B Property and deception offences,B20 Property damage,B22 Graffiti,832,13.0
2018,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,340,5.3
2018,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"3,417",53.2
2018,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"24,442",380.8
2018,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"13,945",217.3
2018,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"49,159",765.9
2018,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,228,3.6
2018,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"6,351",99.0
2018,September,B Property and deception offences,B40 Theft,Other theft offences,"24,115",375.7
2018,September,B Property and deception offences,B50 Deception,B50 Deception,"6,845",106.7
2018,September,C Other offences,C Other offences,C Other offences,91,1.4
2017,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,243,3.9
2017,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"16,055",254.8
2017,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,927",46.5
2017,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"22,658",359.7
2017,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,357",53.3
2017,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"4,357",69.2
2017,September,A Crimes against the person,A30 Sexual offences,A33 Incest,258,4.1
2017,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,233,3.7
